,Abstract,Advisor,Advisor_Major,Student_Major,Student_Year,Students,Title,Year
0,"Recent surveys indicate that alcohol abuse among women is rising, of which a particularly noxious form is drinking during pregnancy. Mandated beneï¬Åts for alcohol and substance abuse treatment have the potential to counter this behavior, by requiring through state law that insurance companies provide more generous ï¬Ånancial or medical coverage for these services. My analysis measures the eï¬€ect of having alcohol and substance abuse mandated beneï¬Åts within a state on a spectrum of infant health indicators, including Apgar scores, infant mortality, congenital defects, period of gestation, and birth weight.","ADVISOR: Courtney Coile, Economics",Economics,Economics and Mathematics,2010,Lisa Abraham,The Effect of Mandated Beneï¬Åts for Alcohol and Substance Abuse Treatment on Infant Health Outcomes,2010
1,"Pregnant women with access to modern standards of prenatal and perinatal care are subject to a variety of screenings and procedures that are designed to improve the health of both mother and infant. These â€œinterventionsâ€ù tend to increase with maternal age, as older mothers face greater health risks that may be prevented with appropriate use of obstetric intervention. However, since mothers aged 35 and older are deemed to have reached â€œadvanced maternal ageâ€ù, interventions are performed at a more aggressive rate, creating a jump, or discontinuity, of the rate of obstetric intervention at age 35 that may be due to non-medical reasons.  This study takes advantage of such discontinuity in order to measure the eï¬€ectiveness of various obstetric procedures in improving infant health. Examined procedures include the performance of cesarean section deliveries and induction of birth, the use of electric fetal monitoring, and the implementation of amniocentesis.","ADVISOR: Kristin Butcher, Economics",Economics,Economics,2010,Runshan Deng,Does Obstetric Intervention Improve Infant Health? An Economic Analysis,2010
2,"One signiï¬Åcant source of the increased spending on health care in the United States is the escalating costliness and prevalence  of diabetes. Diabetes is extremely expensive due to complications that can result and the need for medication and health checks throughout a lifetime. The costs related to diabetes are not conï¬Åned to the aï¬„icted individual, but extend to society as a whole through higher taxes, elevated insurance premiums, and reduced standards of living. Given the increasing prevalence and importance of diabetes, this paper focuses on the role of preventative care in the successful treatment of diabetes. This paper investigates whether health insurance aï¬€ects diabeticsâ€™ usage of preventative care and also measures the eï¬€ects on health outcomes for diabetics. The analysis uses a regression discontinuity model and the discrete change in eligibility for Medicare once Americans turn 65 to measure these eï¬€ects.","ADVISOR: Robin McKnight, Economics",Economics,Economics,2010,Ilana Orloff,Does Accessible Health Care Make a Difference? The Effects of Health Insurance on Use of Preventative Care and on Health Outcomes among Diabetics,2010
3,"As the U.S. moves closer to adopting universal health insurance coverage, one critical question is how health insurance coverage aï¬€ects the utilization of health care services and health outcomes. This eï¬€ect is diï¬ƒcult to identify, since people with and without health insurance may diï¬€er in ways that aï¬€ect these outcomesâ€”for example, people who are sick may be more likely to buy insurance. New cancer diagnoses, which serve as a shock to an individualâ€™s health status, oï¬€er a potentially appealing way to identify the eï¬€ect of insurance on utilization and outcomes. In this project, I use the National Cancer Instituteâ€™s Surveillance Epidemiology and End Results database to explore whether health insurance coverage aï¬€ects cancer treatment and mortality. Controlling for the severity of cancer and other predictors of mortality, I compare patient outcomes by age and race, looking carefully at how these change at the Medicare eligibility age of 65.","ADVISOR: Courtney Coile, Economics",Economics,Economics,2010,Susun Kim,Does Health Insurance Affect Utilization of Health Services and Health Outcomes? Evidence from Cancer Patients with and without Medicare Eligibility,2010
4,"In the Victorian Era, â€œhysteriaâ€ù was a common diagnosis that often conï¬Åned women to bed for weeks on end. The theorized root of the disease was the inherent frailty of women: too much strenuous activity was thought to cause a host of ailments, from anxiety and sleeplessness to delirium, to vaginal lubrication and other signs of sexual arousal. The diagnosis pathologized sexual desire in women, and treatment often included isolation or sexual violation. Even the threat of diagnosis was enough to enforce the Victorian ideal of female passivity by deï¬Åning inappropriate behavior. The concept of hysteria was so fraught with gender stereotypes that it crossed the line from a true medical condition to a tool doctors used to forcibly control womenâ€™s bodies. By placing severe limitations on women as a sex, the hysteria diagnosis reinforced Victorian social norms and helped to keep women intellectually, sexually, and socially subordinate to men.","ADVISOR: Charlene Galarneau, Womenâ€™s and Gender Studies",Womenâ€™s and Gender Studies,Unspecified,2013,Megan Wilson,Hysteria: Victorian Violence Against Women,2010
5,"Is a whale a ï¬Åsh? Biblical references, economic interests, and common sense in the early nineteenth century thought so, and scientiï¬Åc authorities were powerless to sway popular opinion. The barrier between the scientiï¬Åc community and lay audience has been in place since people ï¬Årst tried to share observations with those around them. A journal article written for an audience of experts is meaningless and impenetrable to the average reader even if they ï¬Ånd interest in the subject, so science writers must present scientiï¬Åc information in a familiar, almost narrative style. Successful writers must be  able to evaluate the popular attitude regarding academic authority to avoid alienating audience members while maintaining scientiï¬Åc integrity. When Melville published Moby Dick in 1851, he was certainly familiar with contemporary science writing; to what extent is his almost encyclopedic account of whales and the business of whaling science writing? (Research supported by the Oï¬ƒce  of the Dean of the College.)","ADVISOR: Lawrence A. Rosenwald, English",English,English,2010,Amy Allport,"Spouting Fish with Horizontal Tails: Melville, Cetology, and Scientiï¬Åc Writing",2010
6,"Popular prints, a valuable source of visual documentation, circulated throughout Georgian London and carried inï¬‚uential, moralizing messages. During the Golden Age of Satire, health and disease were among the most prominent subjects illustrated in prints. My thesis explores the dynamic relationship between satirical prints and the evolving medical world of Georgian London by focusing on the work of Thomas Rowlandson, one of the great English caricaturists of the era. To what extent did satirical prints not simply reï¬‚ect but actually reform the medical marketplace? What role did popular art play in re-shaping the doctor-patient relationship, the practice of medicine and hygiene, and the rise of hospitals and other medical institutions? By examining these issues through Rowlandsonâ€™s satirical lens, I hope to reveal the connections between Georgian art, society, and medicine. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Meredith Martin, Art",Art,Neuroscience and Art History,2010,Ilene Tsui,"The Golden Age of Satire: Thomas Rowlandsonâ€™s Prints and Medical Reform, 1780â€“1830",2010
7,"In some Eastern cultures, dance and music are expressed by the same word because they are treated as actions done together, one inï¬‚uencing the other. This composition thesis is an exploration of the unique relationship between music and movement, speciï¬Åcally relating towards creation. Where does the impetus come from? Which comes ï¬Årstâ€”music or dance? How does the style of one discipline aï¬€ect the other? As a result, the contemporary ballet, Tableaux Vivants, paints â€œliving picturesâ€ù of an abstract storyline that integrates both movement and music in both the dancers and musicians. The phenomena of music and dance are still a beautiful mystery that will never quite be explained, yet this work is one commentary and exploration into the inï¬Ånite realm of connection and interaction between the two ï¬Åelds.","ADVISOR: Martin Brody, Music, and Peter Child, MIT","Music, MIT",Music and Spanish,2010,Anne Goldberg,"Tableaux Vivants: Inhabiting Music through Movement and Connecting Sounds, Space,  and Vision (interactive teaching  presentation) Pendleton West 220",2010
8,"The advent of analog recording technology transformed the ï¬Åeld of musical composition. Sounds that previously could not be recorded or notatedâ€”whether everyday life sounds or human speechâ€”could hence be used as raw materials for musical and artistic practices. Replayable, sliceable tape recordings also promised new ways of organizing sound that connected the aural medium with space and vision. Edvard Vareseâ€™s Poeme Electronique in Le Corbusierâ€™s Philips Pavilion in the 1958 Brussels World Exposition, and Steve Reichâ€™s tape music from 1965â€“1968 and Sol Lewittâ€™s early Wall Drawings in 1960s are creative works that exemplify such new relationships between sound, space, and vision. With reference to these two sets of case studies, this thesis project examines how tape recording technology altered our experience of and relationship with sound and the world.","ADVISOR: Martin Brody, Music",Music,Music,2010,Michelle Wong,"Connecting Sounds, Space, and Vision: The (Non-)Musical Uses of Analog Recording Technology",2010
9,"Referential shift is a grammatical device used to mark multiple perspectives in a narrative. Across diï¬€erent sign languages, signers shift their torso to one side or the other to express referential shift. Although the body shift ironically depicts a character shift, it depends on the signer consistently placing characters in the same space across a narrative. We examined whether signers of an emerging sign language in Nicaragua use the body shift as a referential shift device. In the Nicaraguan deaf community, the younger signers introduce grammatical features that the older signers are unable to acquire. Deaf Nicaraguansâ€™ descriptions of six videos were coded for consistency in marking spatial relations and for the use of the body shift. Younger signers used the body shift and consistently marked spatial relations more often than older signers. Thus, the use of the body shift only emerges when signers consistently locate characters in space. (Research supported by the Oï¬ƒce of the Dean of the College and the Radcliï¬€e Institute for Advanced Studies.)","ADVISOR: Jennie E. Pyers, Psychology",Psychology,Cognitive and Linguistic Science,2010,Annemarie Kocab,Emergence of Referential Shift in a New Sign Language,2010
